subjID,SPM_image,SPM_file_t,SPM_file_c,FS_image,FS_file_lh,FS_file_rh,LH_SN_spcorr,RH_SN_spcorr,LH_SN_volume,RH_SN_volume,LH_SN_ES,RH_SN_ES,Lateralization_volume,Lateralization_ES,Lateralization
sub685,SPM_images/sub685.png,SPM_files/sub685_spmT.nii,SPM_files/sub685_con.nii,FS_images/sub685.png,FS_files/sub685/lh_sig.nii.gz,FS_files/sub685/rh_sig.nii.gz,1.035691,0.326411167,2012,88,1.366495833,0.053318667,0.916190476,1.313177167,left-lat
sub686,SPM_images/sub686.png,SPM_files/sub686_spmT.nii,SPM_files/sub686_con.nii,FS_images/sub686.png,FS_files/sub686/lh_sig.nii.gz,FS_files/sub686/rh_sig.nii.gz,1.296559333,0.325587667,2731,613,2.323951833,0.620122167,0.633373206,1.703829667,left-lat
sub687,SPM_images/sub687.png,SPM_files/sub687_spmT.nii,SPM_files/sub687_con.nii,FS_images/sub687.png,FS_files/sub687/lh_sig.nii.gz,FS_files/sub687/rh_sig.nii.gz,0.496674667,0.329119,1720,114,2.008429167,0.289179667,0.87568157,1.7192495,left-lat
sub688,SPM_images/sub688.png,SPM_files/sub688_spmT.nii,SPM_files/sub688_con.nii,FS_images/sub688.png,FS_files/sub688/lh_sig.nii.gz,FS_files/sub688/rh_sig.nii.gz,1.456450333,0.848599667,2579,674,2.004659,0.433875333,0.58561328,1.570783667,left-lat
sub689,SPM_images/sub689.png,SPM_files/sub689_spmT.nii,SPM_files/sub689_con.nii,FS_images/sub689.png,FS_files/sub689/lh_sig.nii.gz,FS_files/sub689/rh_sig.nii.gz,1.052300833,0.486109667,2234,72,1.420619,0.259993333,0.937554206,1.160625667,left-lat
sub690,SPM_images/sub690.png,SPM_files/sub690_spmT.nii,SPM_files/sub690_con.nii,FS_images/sub690.png,FS_files/sub690/lh_sig.nii.gz,FS_files/sub690/rh_sig.nii.gz,1.318742167,0.515784333,2520,152,1.957578667,-0.029497833,0.886227545,1.9870765,left-lat
sub691,SPM_images/sub691.png,SPM_files/sub691_spmT.nii,SPM_files/sub691_con.nii,FS_images/sub691.png,FS_files/sub691/lh_sig.nii.gz,FS_files/sub691/rh_sig.nii.gz,0.6597605,0.3242075,2631,1113,1.146395667,0.4342145,0.405448718,0.712181167,left-lat
sub692,SPM_images/sub692.png,SPM_files/sub692_spmT.nii,SPM_files/sub692_con.nii,FS_images/sub692.png,FS_files/sub692/lh_sig.nii.gz,FS_files/sub692/rh_sig.nii.gz,0.564475,0.355421167,589,73,1.0977785,0.3561275,0.779456193,0.741651,left-lat
sub693,SPM_images/sub693.png,SPM_files/sub693_spmT.nii,SPM_files/sub693_con.nii,FS_images/sub693.png,FS_files/sub693/lh_sig.nii.gz,FS_files/sub693/rh_sig.nii.gz,0.293559833,0.6094315,1901,1433,0.821235333,0.900001667,0.140371926,-0.078766333,bi-lat
sub694,SPM_images/sub694.png,SPM_files/sub694_spmT.nii,SPM_files/sub694_con.nii,FS_images/sub694.png,FS_files/sub694/lh_sig.nii.gz,FS_files/sub694/rh_sig.nii.gz,0.737717833,0.238858833,1416,311,1.029189,0.203188667,0.639837869,0.826000333,left-lat
sub695,SPM_images/sub695.png,SPM_files/sub695_spmT.nii,SPM_files/sub695_con.nii,FS_images/sub695.png,FS_files/sub695/lh_sig.nii.gz,FS_files/sub695/rh_sig.nii.gz,1.080763167,0.281865,1703,73,0.997953333,0.181881167,0.917792793,0.816072167,left-lat
sub696,SPM_images/sub696.png,SPM_files/sub696_spmT.nii,SPM_files/sub696_con.nii,FS_images/sub696.png,FS_files/sub696/lh_sig.nii.gz,FS_files/sub696/rh_sig.nii.gz,1.238464333,0.589808333,3013,996,1.723630167,0.712327,0.503117985,1.011303167,left-lat
sub697,SPM_images/sub697.png,SPM_files/sub697_spmT.nii,SPM_files/sub697_con.nii,FS_images/sub697.png,FS_files/sub697/lh_sig.nii.gz,FS_files/sub697/rh_sig.nii.gz,0.9160715,0.2400115,1612,250,1.164963,0.2923575,0.731471536,0.8726055,left-lat
sub698,SPM_images/sub698.png,SPM_files/sub698_spmT.nii,SPM_files/sub698_con.nii,FS_images/sub698.png,FS_files/sub698/lh_sig.nii.gz,FS_files/sub698/rh_sig.nii.gz,1.188238833,0.5976605,2435,1047,1.548378833,0.6381935,0.398621482,0.910185333,left-lat
sub699,SPM_images/sub699.png,SPM_files/sub699_spmT.nii,SPM_files/sub699_con.nii,FS_images/sub699.png,FS_files/sub699/lh_sig.nii.gz,FS_files/sub699/rh_sig.nii.gz,0.548159833,0.3981465,2128,250,1.277693667,0.286953333,0.789739277,0.990740333,left-lat
sub700,SPM_images/sub700.png,SPM_files/sub700_spmT.nii,SPM_files/sub700_con.nii,FS_images/sub700.png,FS_files/sub700/lh_sig.nii.gz,FS_files/sub700/rh_sig.nii.gz,0.6357915,0.308638667,1094,152,0.905869333,0.095979167,0.756019262,0.809890167,left-lat
sub701,SPM_images/sub701.png,SPM_files/sub701_spmT.nii,SPM_files/sub701_con.nii,FS_images/sub701.png,FS_files/sub701/lh_sig.nii.gz,FS_files/sub701/rh_sig.nii.gz,1.188440167,0.699029,2481,954,1.945146167,0.735967,0.444541485,1.209179167,left-lat
sub702,SPM_images/sub702.png,SPM_files/sub702_spmT.nii,SPM_files/sub702_con.nii,FS_images/sub702.png,FS_files/sub702/lh_sig.nii.gz,FS_files/sub702/rh_sig.nii.gz,0.543881667,0.8181795,360,1310,0.437549,1.091473667,-0.568862275,-0.653924667,right-lat
sub703,SPM_images/sub703.png,SPM_files/sub703_spmT.nii,SPM_files/sub703_con.nii,FS_images/sub703.png,FS_files/sub703/lh_sig.nii.gz,FS_files/sub703/rh_sig.nii.gz,1.1089125,0.620423333,1758,313,1.499047,0.154968833,0.697730565,1.344078167,left-lat
sub704,SPM_images/sub704.png,SPM_files/sub704_spmT.nii,SPM_files/sub704_con.nii,FS_images/sub704.png,FS_files/sub704/lh_sig.nii.gz,FS_files/sub704/rh_sig.nii.gz,1.109643333,0.123298333,2422,107,1.5663815,0.113548333,0.915381574,1.452833167,left-lat
sub705,SPM_images/sub705.png,SPM_files/sub705_spmT.nii,SPM_files/sub705_con.nii,FS_images/sub705.png,FS_files/sub705/lh_sig.nii.gz,FS_files/sub705/rh_sig.nii.gz,0.360689,0.2683085,1226,17,1.099270333,-0.093875833,0.972646822,1.193146167,left-lat
sub706,SPM_images/sub706.png,SPM_files/sub706_spmT.nii,SPM_files/sub706_con.nii,FS_images/sub706.png,FS_files/sub706/lh_sig.nii.gz,FS_files/sub706/rh_sig.nii.gz,0.474380167,0.152184333,523,28,0.784172833,0.247626333,0.898366606,0.5365465,left-lat
sub707,SPM_images/sub707.png,SPM_files/sub707_spmT.nii,SPM_files/sub707_con.nii,FS_images/sub707.png,FS_files/sub707/lh_sig.nii.gz,FS_files/sub707/rh_sig.nii.gz,0.881276667,0.196051167,1222,324,1.417189,0.240327833,0.580853816,1.176861167,left-lat
sub709,SPM_images/sub709.png,SPM_files/sub709_spmT.nii,SPM_files/sub709_con.nii,FS_images/sub709.png,FS_files/sub709/lh_sig.nii.gz,FS_files/sub709/rh_sig.nii.gz,0.783558,0.188971167,1129,94,0.898737667,0.074665167,0.84627964,0.8240725,left-lat
sub710,SPM_images/sub710.png,SPM_files/sub710_spmT.nii,SPM_files/sub710_con.nii,FS_images/sub710.png,FS_files/sub710/lh_sig.nii.gz,FS_files/sub710/rh_sig.nii.gz,0.147514833,0.348241,0,11,-0.263048833,-0.0996825,-1,-0.163366333,bi-lat
